state,action,reward,total
0,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,6,6
0,1,0,6
5,1,0,6
6,1,0,6
7,1,0,6
8,1,-2,4
0,1,0,4
5,1,0,4
6,1,0,4
7,1,0,4
8,1,-2,2
0,1,0,2
5,1,0,2
6,1,0,2
7,1,0,2
8,1,-2,0
0,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,-2,-2
0,1,0,-2
5,1,0,-2
6,1,0,-2
7,1,0,-2
8,1,-2,-4
0,1,0,-4
5,1,0,-4
6,1,0,-4
7,1,0,-4
8,1,-2,-6
0,1,0,-6
5,1,0,-6
6,1,0,-6
7,1,0,-6
8,1,-2,-8
0,1,0,-8
5,1,0,-8
6,1,0,-8
7,1,0,-8
8,1,6,-2
0,1,0,-2
5,1,0,-2
6,1,0,-2
7,1,0,-2
8,1,-2,-4
0,1,0,-4
5,1,0,-4
6,1,0,-4
7,1,0,-4
8,1,-2,-6
0,1,0,-6
5,1,0,-6
6,1,0,-6
7,1,0,-6
8,1,6,0
0,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,-2,-2
0,1,0,-2
5,1,0,-2
6,1,0,-2
7,1,0,-2
8,1,6,4
0,1,0,4
5,1,0,4
6,1,0,4
7,1,0,4
8,1,6,10
0,1,0,10
5,1,0,10
6,1,0,10
7,1,0,10
8,1,6,16
0,1,0,16
5,1,0,16
6,1,0,16
7,1,0,16
8,1,-2,14
0,1,0,14
5,1,0,14
6,1,0,14
7,1,0,14
8,1,6,20
0,1,0,20
5,1,0,20
6,1,0,20
7,1,0,20
8,1,6,26
0,1,0,26
5,1,0,26
6,1,0,26
7,1,0,26
8,1,6,32
0,1,0,32
5,1,0,32
6,1,0,32
7,1,0,32
8,1,6,38
0,1,0,38
5,1,0,38
6,1,0,38
7,1,0,38
8,1,6,44
0,1,0,44
5,1,0,44
6,1,0,44
7,1,0,44
8,1,-2,42
0,1,0,42
5,1,0,42
6,1,0,42
7,1,0,42
8,1,-2,40
0,1,0,40
5,1,0,40
6,1,0,40
7,1,0,40
8,1,-2,38
0,1,0,38
5,1,0,38
6,1,0,38
7,1,0,38
8,1,-2,36
0,1,0,36
5,1,0,36
6,1,0,36
7,1,0,36
8,1,6,42
0,1,0,42
5,1,0,42
6,1,0,42
7,1,0,42
8,1,6,48
0,1,0,48
5,1,0,48
6,1,0,48
7,1,0,48
8,1,6,54
0,1,0,54
5,1,0,54
6,1,0,54
7,1,0,54
8,1,6,60
0,1,0,60
5,1,0,60
6,1,0,60
7,1,0,60
8,1,-2,58
0,1,0,58
5,1,0,58
6,1,0,58
7,1,0,58
8,1,-2,56
0,1,0,56
5,1,0,56
6,1,0,56
7,1,0,56
8,1,6,62
0,1,0,62
5,1,0,62
6,1,0,62
7,1,0,62
8,1,6,68
0,1,0,68
5,1,0,68
6,1,0,68
7,1,0,68
8,1,6,74
0,1,0,74
5,1,0,74
6,1,0,74
7,1,0,74
8,1,6,80
0,1,0,80
5,1,0,80
6,1,0,80
7,1,0,80
8,1,6,86
0,1,0,86
5,1,0,86
6,1,0,86
7,1,0,86
8,1,6,92
0,1,0,92
5,1,0,92
6,1,0,92
7,1,0,92
8,1,6,98
0,1,0,98
5,1,0,98
6,1,0,98
7,1,0,98
8,1,6,104
0,1,0,104
5,1,0,104
6,1,0,104
7,1,0,104
8,1,6,110
0,1,0,110
5,1,0,110
6,1,0,110
7,1,0,110
8,1,6,116
0,1,0,116
5,1,0,116
6,1,0,116
7,1,0,116
8,1,6,122
0,1,0,122
5,1,0,122
6,1,0,122
7,1,0,122
8,1,6,128
0,1,0,128
5,1,0,128
6,1,0,128
7,1,0,128
8,1,-2,126
0,1,0,126
5,1,0,126
6,1,0,126
7,1,0,126
8,1,6,132
0,1,0,132
5,1,0,132
6,1,0,132
7,1,0,132
8,1,-2,130
0,1,0,130
5,1,0,130
6,1,0,130
7,1,0,130
8,1,6,136
0,1,0,136
5,1,0,136
6,1,0,136
7,1,0,136
8,1,6,142
0,1,0,142
5,1,0,142
6,1,0,142
7,1,0,142
8,1,6,148
0,1,0,148
5,1,0,148
6,1,0,148
7,1,0,148
8,1,-2,146
0,1,0,146
5,1,0,146
6,1,0,146
7,1,0,146
8,1,-2,144
0,1,0,144
5,1,0,144
6,1,0,144
7,1,0,144
8,1,-2,142
0,1,0,142
5,1,0,142
6,1,0,142
7,1,0,142
8,1,6,148
0,1,0,148
5,1,0,148
6,1,0,148
7,1,0,148
8,1,6,154
0,1,0,154
5,1,0,154
6,1,0,154
7,1,0,154
8,1,-2,152
0,1,0,152
5,1,0,152
6,1,0,152
7,1,0,152
8,1,-2,150
0,1,0,150
5,1,0,150
6,1,0,150
7,1,0,150
8,1,6,156
0,1,0,156
5,1,0,156
6,1,0,156
7,1,0,156
8,1,-2,154
0,1,0,154
5,1,0,154
6,1,0,154
7,1,0,154
8,1,-2,152
