state,action,reward,total
1,0,0,0
2,0,2,2
1,0,0,2
2,0,0,2
3,0,0,2
4,0,0,2
5,0,10,12
5,0,10,22
5,0,2,24
1,0,0,24
2,0,0,24
3,0,0,24
4,0,0,24
5,0,10,34
5,0,2,36
1,0,0,36
2,0,0,36
3,0,2,38
1,0,2,40
1,0,0,40
2,0,0,40
3,0,0,40
4,0,2,42
1,0,0,42
2,0,0,42
3,0,0,42
4,0,0,42
5,0,10,52
5,0,10,62
5,0,10,72
5,0,2,74
1,0,0,74
2,0,0,74
3,0,0,74
4,0,2,76
1,0,2,78
1,0,2,80
1,0,0,80
2,0,0,80
3,0,0,80
4,0,0,80
5,0,10,90
5,0,10,100
5,0,10,110
5,0,2,112
1,0,0,112
2,0,0,112
3,0,0,112
4,0,0,112
5,0,2,114
1,0,0,114
2,0,0,114
3,0,0,114
4,0,0,114
5,0,2,116
1,0,2,118
1,0,0,118
2,0,0,118
3,0,2,120
1,0,2,122
1,0,0,122
2,0,0,122
3,0,2,124
1,0,0,124
2,0,0,124
3,0,0,124
4,0,0,124
5,0,10,134
5,0,10,144
5,0,10,154
5,0,2,156
1,0,0,156
2,0,2,158
1,0,0,158
2,0,2,160
1,0,0,160
2,0,2,162
1,0,0,162
2,0,0,162
3,0,2,164
1,0,0,164
2,0,0,164
3,0,0,164
4,0,2,166
1,0,0,166
2,0,0,166
3,0,2,168
1,0,0,168
2,0,0,168
3,0,2,170
1,0,0,170
2,0,0,170
3,0,0,170
4,0,0,170
5,0,2,172
1,0,2,174
1,0,0,174
2,0,0,174
3,0,0,174
4,0,0,174
5,0,10,184
5,0,10,194
5,0,10,204
5,0,2,206
1,0,0,206
2,0,0,206
3,0,0,206
4,0,0,206
5,0,10,216
5,0,10,226
5,0,10,236
5,0,10,246
5,0,10,256
5,0,10,266
5,0,10,276
5,0,10,286
5,0,10,296
5,0,10,306
5,0,10,316
5,0,10,326
5,0,2,328
1,0,0,328
2,0,0,328
3,0,2,330
1,0,0,330
2,0,0,330
3,0,0,330
4,0,0,330
5,0,10,340
5,0,10,350
5,0,10,360
5,0,10,370
5,0,10,380
5,0,10,390
5,0,10,400
5,0,2,402
1,0,0,402
2,0,2,404
1,0,0,404
2,0,2,406
1,0,0,406
2,0,0,406
3,0,2,408
1,0,0,408
2,0,0,408
3,0,0,408
4,0,0,408
5,0,10,418
5,0,10,428
5,0,10,438
5,0,10,448
5,0,10,458
5,0,10,468
5,0,10,478
5,0,10,488
5,0,10,498
5,0,10,508
5,0,2,510
1,0,0,510
2,0,0,510
3,0,0,510
4,0,0,510
5,0,10,520
5,0,10,530
5,0,10,540
5,0,2,542
1,0,0,542
2,0,2,544
1,0,0,544
2,0,0,544
3,0,2,546
1,0,0,546
2,0,0,546
3,0,0,546
4,0,0,546
5,0,2,548
1,0,0,548
2,0,0,548
3,0,0,548
4,0,2,550
1,0,0,550
2,0,2,552
1,0,0,552
2,0,2,554
1,0,0,554
2,0,0,554
3,0,0,554
4,0,0,554
5,0,2,556
1,0,2,558
1,0,0,558
2,0,2,560
1,0,0,560
2,0,2,562
1,0,2,564
1,0,0,564
2,0,0,564
3,0,0,564
4,0,0,564
5,0,10,574
5,0,10,584
5,0,10,594
5,0,10,604
5,0,10,614
5,0,2,616
1,0,0,616
2,0,0,616
3,0,2,618
1,0,0,618
2,0,2,620
1,0,2,622
1,0,0,622
2,0,0,622
3,0,0,622
4,0,2,624
1,0,0,624
2,0,0,624
3,0,0,624
4,0,0,624
5,0,10,634
5,0,10,644
5,0,10,654
5,0,10,664
5,0,10,674
5,0,10,684
5,0,10,694
5,0,10,704
5,0,10,714
5,0,2,716
1,0,0,716
2,0,0,716
3,0,0,716
4,0,0,716
5,0,10,726
5,0,10,736
5,0,2,738
1,0,0,738
2,0,2,740
1,0,0,740
2,0,2,742
1,0,2,744
1,0,0,744
2,0,0,744
3,0,0,744
4,0,2,746
1,0,0,746
2,0,2,748
1,0,0,748
2,0,0,748
3,0,0,748
4,0,0,748
5,0,2,750
1,0,0,750
2,0,0,750
3,0,2,752
1,0,0,752
2,0,2,754
1,0,0,754
2,0,0,754
3,0,2,756
1,0,0,756
2,0,0,756
3,0,2,758
1,0,0,758
2,0,0,758
3,0,0,758
4,0,0,758
5,0,10,768
5,0,10,778
5,0,10,788
5,0,10,798
5,0,10,808
5,0,10,818
5,0,10,828
5,0,10,838
5,0,10,848
5,0,10,858
5,0,10,868
5,0,10,878
5,0,10,888
5,0,10,898
5,0,10,908
5,0,10,918
5,0,2,920
1,0,2,922
1,0,0,922
2,0,2,924
1,0,0,924
2,0,0,924
3,0,2,926
1,0,0,926
2,0,0,926
3,0,0,926
4,0,2,928
1,0,0,928
2,0,0,928
3,0,0,928
4,0,0,928
5,0,2,930
1,0,0,930
