state,action,reward,total
0,1,0,0
5,1,0,0
6,0,0,0
0,0,0,0
1,0,0,0
2,0,0,0
3,1,0,0
4,0,1,0
0,1,0,1
5,0,0,1
0,0,0,1
1,0,0,1
2,0,0,1
3,0,0,1
4,0,1,1
0,1,0,2
5,1,0,2
6,0,0,2
0,1,0,2
5,0,0,2
0,0,0,2
1,1,0,2
2,1,0,2
3,1,0,2
4,0,1,2
0,1,0,3
5,0,0,3
0,1,0,3
5,0,0,3
0,0,0,3
1,0,0,3
2,1,0,3
3,1,0,3
4,0,1,3
0,0,0,4
1,0,0,4
2,1,0,4
3,1,0,4
4,0,1,4
0,0,0,5
1,0,0,5
2,1,0,5
3,1,0,5
4,0,1,5
0,0,0,6
1,0,0,6
2,1,0,6
3,1,0,6
4,0,1,6
0,0,0,7
1,0,0,7
2,1,0,7
3,1,0,7
4,0,1,7
0,0,0,8
1,0,0,8
2,1,0,8
3,1,0,8
4,0,1,8
0,0,0,9
1,0,0,9
2,1,0,9
3,1,0,9
4,0,1,9
0,0,0,10
1,0,0,10
2,1,0,10
3,1,0,10
4,0,1,10
0,0,0,11
1,0,0,11
2,1,0,11
3,1,0,11
4,0,1,11
0,0,0,12
1,0,0,12
2,1,0,12
3,1,0,12
4,0,1,12
0,0,0,13
1,0,0,13
2,1,0,13
3,1,0,13
4,0,1,13
0,0,0,14
1,0,0,14
2,1,0,14
3,1,0,14
4,0,1,14
0,0,0,15
1,0,0,15
2,1,0,15
3,1,0,15
4,0,1,15
0,0,0,16
1,0,0,16
2,1,0,16
3,1,0,16
4,0,1,16
0,0,0,17
1,0,0,17
2,1,0,17
3,1,0,17
4,0,1,17
0,0,0,18
1,0,0,18
2,0,0,18
3,1,0,18
4,0,1,18
0,0,0,19
1,0,0,19
2,1,0,19
3,1,0,19
4,0,1,19
0,0,0,20
1,0,0,20
2,1,0,20
3,1,0,20
4,0,1,20
0,0,0,21
1,0,0,21
2,1,0,21
3,1,0,21
4,0,1,21
0,0,0,22
1,0,0,22
2,1,0,22
3,1,0,22
4,0,1,22
0,0,0,23
1,0,0,23
2,1,0,23
3,1,0,23
4,0,1,23
0,1,0,24
5,0,0,24
0,0,0,24
1,0,0,24
2,1,0,24
3,1,0,24
4,0,1,24
0,0,0,25
1,0,0,25
2,1,0,25
3,1,0,25
4,0,1,25
0,0,0,26
1,1,0,26
2,0,0,26
3,1,0,26
4,0,1,26
0,0,0,27
1,0,0,27
2,1,0,27
3,1,0,27
4,0,1,27
0,0,0,28
1,0,0,28
2,1,0,28
3,1,0,28
4,0,1,28
0,0,0,29
1,0,0,29
2,1,0,29
3,1,0,29
4,0,1,29
0,0,0,30
1,0,0,30
2,1,0,30
3,1,0,30
4,0,1,30
0,0,0,31
1,0,0,31
2,1,0,31
3,1,0,31
4,0,1,31
0,0,0,32
1,0,0,32
2,1,0,32
3,1,0,32
4,0,1,32
0,0,0,33
1,0,0,33
2,1,0,33
3,1,0,33
4,0,1,33
0,0,0,34
1,0,0,34
2,1,0,34
3,1,0,34
4,0,1,34
0,0,0,35
1,0,0,35
2,1,0,35
3,1,0,35
4,0,1,35
0,0,0,36
1,0,0,36
2,1,0,36
3,1,0,36
4,0,1,36
0,0,0,37
1,0,0,37
2,1,0,37
3,1,0,37
4,0,1,37
0,0,0,38
1,0,0,38
2,1,0,38
3,0,0,38
4,0,1,38
0,0,0,39
1,0,0,39
2,1,0,39
3,1,0,39
4,0,1,39
0,1,0,40
5,0,0,40
0,0,0,40
1,0,0,40
2,1,0,40
3,1,0,40
4,1,1,40
0,0,0,41
1,0,0,41
2,1,0,41
3,1,0,41
4,0,1,41
0,0,0,42
1,0,0,42
2,1,0,42
3,1,0,42
4,0,1,42
0,0,0,43
1,0,0,43
2,1,0,43
3,1,0,43
4,0,1,43
0,0,0,44
1,0,0,44
2,1,0,44
3,1,0,44
4,0,1,44
0,0,0,45
1,0,0,45
2,1,0,45
3,1,0,45
4,0,1,45
0,0,0,46
1,0,0,46
2,1,0,46
3,1,0,46
4,0,1,46
0,0,0,47
1,0,0,47
2,1,0,47
3,1,0,47
4,0,1,47
0,0,0,48
1,0,0,48
2,1,0,48
3,1,0,48
4,0,1,48
0,0,0,49
1,0,0,49
2,1,0,49
3,1,0,49
4,0,1,49
0,0,0,50
1,0,0,50
2,1,0,50
3,1,0,50
4,0,1,50
0,0,0,51
1,0,0,51
2,1,0,51
3,1,0,51
4,0,1,51
0,0,0,52
1,0,0,52
2,0,0,52
3,1,0,52
4,0,1,52
0,0,0,53
1,0,0,53
2,1,0,53
3,1,0,53
4,0,1,53
0,0,0,54
1,0,0,54
2,1,0,54
3,1,0,54
4,0,1,54
0,0,0,55
1,0,0,55
2,1,0,55
3,1,0,55
4,0,1,55
0,0,0,56
1,0,0,56
2,1,0,56
3,1,0,56
4,0,1,56
0,0,0,57
1,0,0,57
2,1,0,57
3,1,0,57
4,0,1,57
0,0,0,58
1,0,0,58
2,1,0,58
3,1,0,58
4,0,1,58
0,0,0,59
1,0,0,59
2,1,0,59
3,1,0,59
4,0,1,59
0,0,0,60
1,0,0,60
2,1,0,60
3,1,0,60
4,0,1,60
0,0,0,61
1,0,0,61
2,1,0,61
3,1,0,61
4,0,1,61
0,0,0,62
1,0,0,62
2,1,0,62
3,1,0,62
4,0,1,62
0,0,0,63
1,0,0,63
2,1,0,63
3,1,0,63
4,0,1,63
0,0,0,64
1,0,0,64
2,1,0,64
3,1,0,64
4,0,1,64
0,0,0,65
1,0,0,65
2,1,0,65
3,1,0,65
4,0,1,65
0,0,0,66
1,0,0,66
2,1,0,66
3,1,0,66
4,0,1,66
0,0,0,67
1,0,0,67
2,1,0,67
3,1,0,67
4,0,1,67
0,1,0,68
5,0,0,68
0,0,0,68
1,0,0,68
2,1,0,68
3,1,0,68
4,0,1,68
0,0,0,69
1,0,0,69
2,1,0,69
3,1,0,69
4,0,1,69
0,0,0,70
1,0,0,70
2,1,0,70
3,1,0,70
4,0,1,70
0,0,0,71
1,0,0,71
2,1,0,71
3,1,0,71
4,0,1,71
0,0,0,72
1,0,0,72
2,1,0,72
3,1,0,72
4,0,1,72
0,0,0,73
1,0,0,73
2,0,0,73
3,1,0,73
4,1,1,73
0,0,0,74
1,0,0,74
2,1,0,74
3,1,0,74
4,1,1,74
0,0,0,75
1,0,0,75
2,1,0,75
3,1,0,75
4,0,1,75
0,0,0,76
1,0,0,76
2,1,0,76
3,1,0,76
4,0,1,76
0,0,0,77
1,0,0,77
2,1,0,77
3,1,0,77
4,0,1,77
0,0,0,78
1,0,0,78
2,1,0,78
3,1,0,78
4,0,1,78
0,0,0,79
1,0,0,79
2,1,0,79
3,1,0,79
4,0,1,79
0,0,0,80
1,0,0,80
2,1,0,80
